Time,cell7_1,cell7_2,cell7_5,cell7_7,cell7_8
0,-0.104688415,-0.133373552,-0.194281449,0.015469772,-0.073014091
5,-0.12398499,-0.114194505,-0.16530151,0.00332152,-0.034458938
10,-0.091666601,-0.115174823,-0.168058711,0.009288707,-0.047605684
15,-0.01537991,-0.036598547,-0.140633364,0.044771012,-0.068696605
20,0.014239658,-0.082522686,-0.130924498,-0.031219723,-0.031026536
25,-0.021092416,-0.104667823,-0.189177694,0.003385683,-0.065242616
30,0.039158777,-0.09991705,-0.113208018,0.047615585,-0.029364304
35,-0.013288323,-0.097931277,-0.134825644,0.00409148,-0.043007561
40,0.068283561,-0.033481638,-0.066922245,-0.012975958,0.012428964
45,0.026294394,-0.066988412,-0.022249729,0.025094267,0.02943986
50,0.047952438,0.012191137,0.084371806,-0.000849094,-0.001365405
55,0.01455452,-0.039514365,0.145968841,-0.029637028,-0.025089993
60,-0.038027521,-0.037729684,0.064924742,0.034868476,-0.03687673
65,-0.00296533,0.014252319,0.041459204,0.007427971,-0.008251796
70,-0.007148504,0.028982229,0.080705315,0.039595172,0.07844333
75,-0.001750861,0.066535958,0.070263151,-0.038363237,0.025381423
80,0.03574027,0.098408868,0.18747351,0.006914665,0.117624519
85,0.012462933,0.156247643,0.203488739,-0.051602265,0.069657246
90,0.056723608,0.252067466,0.215808146,-0.02176633,0.10929177
95,0.104582712,0.333408742,0.231119409,-0.055430675,0.021733147
100,0.128399812,0.452228339,0.196243754,-0.027049108,0.082005257
105,0.304947727,0.455948521,0.299785437,0.002123805,0.136750984
110,0.397247427,0.430887565,0.284650166,-0.042769117,0.217487978
115,0.623880973,0.476686022,0.555178477,0.07409364,0.417625059
120,0.744046006,0.482819295,0.692217215,0.024495409,0.46796695
125,1.064890917,0.567629389,0.814736651,0.109362067,0.631686032
130,1.336774706,0.534449388,0.928632502,0.125552606,0.71635194
135,1.487976187,0.566473117,1.056138365,0.257108759,0.804428662
140,1.82022362,0.754166352,1.069337729,0.30315662,0.989238665
145,2.085607747,1.047809366,1.125185708,0.337890353,1.214525103
150,2.329086438,1.45436493,1.361600995,0.530380253,1.477934946
155,2.672039196,1.893346404,1.379464135,0.864949086,1.806301371
160,2.841300292,2.124249051,1.352918746,1.14703234,2.092701829
165,3.073421442,2.476032476,1.381136055,1.748841318,2.482786722
170,3.239196561,2.757610034,1.347609668,2.607239331,2.868834764
175,3.275135869,3.139833597,1.455521808,3.857610944,3.037432607
180,3.088894686,3.328230651,1.506911334,4.563022263,3.091314837
185,2.963961735,3.41882211,1.626292254,4.805067617,3.085378293
190,2.73995954,3.497348114,1.791636296,4.691199148,2.985061497
195,2.629217893,3.491792977,1.896321924,4.541677271,2.863329969
200,2.411580419,3.323077697,1.932957494,4.136122441,2.735942534
205,2.142440432,2.896966041,1.859598358,3.395763511,2.421564765
210,1.956356681,2.368725335,1.892479442,3.216255986,2.21911783
215,1.796676401,2.157253098,1.916472954,2.806958296,1.90340164
220,1.537859407,1.780283035,1.825925312,2.32015134,1.679734259
225,1.522948418,1.530779479,1.762187047,2.238963378,1.543582326
230,1.560304607,1.300429832,1.715842611,1.96639768,1.634638114
235,1.400871719,1.072342458,1.543840223,1.703670355,1.515022154
240,1.424418938,0.962320589,1.455903123,1.556629459,1.51303611
245,1.277333159,0.711535078,1.143430163,1.375517851,1.373581301
250,1.3136548,0.644571802,1.065817899,1.173403457,1.403393544
255,1.356476104,0.691149486,1.001610322,1.070656626,1.375092421
260,1.380563087,0.694769122,0.963420161,0.984164498,1.278035328
265,1.460942991,0.715959078,0.914113201,0.920813933,1.177545833
270,1.416030101,0.648392529,0.702923366,0.891662407,1.097758685
275,1.513772424,0.805168037,0.745307993,0.856329816,1.13486748
280,1.552163162,0.880702813,0.666170468,0.835113152,1.218022267
285,1.569053287,0.922982178,0.718351957,0.853249978,1.282870913
290,1.501920099,0.980795817,0.585067705,0.860628758,1.189699557
295,1.536060193,1.060277003,0.693537151,1.001445813,1.221238795
300,1.611177395,1.105798959,0.7126029,1.05376029,1.206969502
305,1.640392139,1.211773873,0.661506693,1.309921571,1.205285683
310,1.673745076,1.250081693,0.591344737,1.583086126,1.328722618
315,1.7204122,1.339793379,0.574860197,1.830563974,1.405142126
