sec,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D4_7,D4_8,D4_9,D4_10
0,21535.537,25475.387,26271.768,33124.062,18827.74,49618.652,25366.572,27320.08,24406.072,39658.047
10.056,21518.338,25357.562,25850.934,32707.396,18867.555,51083.047,25864.547,27280.293,25004.797,39484.312
20.112,21752.949,25890.125,25940.9,33408.23,18872.213,50171.508,25532.238,27926.566,24898.023,39557.938
30.169,21462.287,26077.199,26081.232,31806.438,19230.666,51134.652,25536.572,28128.566,25017.893,39445.625
40.225,21733.488,25654.426,26366.4,32687.438,18619.648,51220.363,25866.762,28112.838,24497.572,39392.75
50.281,32023.775,25580.025,27051.367,32523.416,18821.824,51633.699,25894,27535.869,24998.834,39477.844
60.337,21704.801,28395.213,26840.834,32288.896,18917.584,51053.254,25248.881,28206.688,24821.203,39075.203
70.394,21707.699,29974.1,26043.1,31621.438,18787.426,50942.922,25387.285,27919.172,25272.893,39652.281
80.45,21899.375,27106.312,24628.934,31709.188,18875.982,50969.762,25791.453,28404.586,24883.893,38961.609
90.506,21462.324,26022.838,24892.699,32637.812,19083.703,50788.922,25795.881,28110.555,24915.988,39141.781
100.562,21377.062,25723.113,25142.967,32677.771,18781.547,51101.27,25521.309,27762.898,24787.477,38270.781
110.619,21874.176,25516.537,25136.867,32975.332,18625.982,51893.078,25269.572,28395.283,24867.559,38448.734
120.675,21807.275,25991.4,25353.566,31609,18744.25,51427.383,25786.119,27907.627,25245.631,38466.672
130.731,21806.137,25995.363,25014.768,31252.5,18603.592,51448.477,25879.809,27833.191,24850.047,39411.328
140.787,21682,26407.275,25245.166,31076.104,18830.676,50834.586,25873.285,28566.738,24838.619,38971.578
150.844,21840.426,26658.35,65020.934,56726.543,18751.379,52275.176,25082.238,27705.535,24277.477,38838.562
160.9,21774.1,26237.375,49596.832,31787.354,19356.574,51688.207,25271.762,28280.627,24834.857,39089.609
170.956,21860.426,25991.412,26136.133,31499.438,23358.074,50932.129,25828.572,27982.939,24519.977,39158.172
181.012,21075.6,25652.088,23567.232,30941.666,19665.027,49660.762,24820.572,27926.566,24740.596,38882.266
191.069,21484.613,26574.301,23992.666,31061.75,18489.564,63049.398,24392.357,27388.908,24079.166,38961.531
201.125,21417.1,26043.938,24320.768,31077.021,18830.695,51173.176,24710.596,27818.799,24199.023,39548.672
211.181,21237.475,26246.463,24462.533,29776.541,18355.639,50143.078,24582,27573.373,24181.619,38928.703
221.237,21537.812,26753.975,24250.5,29871.938,18759.064,50504.129,25055.047,27767.506,24215.334,38471.016
231.294,21454.801,26176.162,24841,29807.062,18580.639,50676.285,24976.5,27720.879,24638.143,39465.047
241.35,21490.9,26604.65,24903.5,29312.209,18790.879,49891.699,24065.547,27872.465,24470.369,38663.375
251.406,21266.088,26910.699,24999.566,29619.25,18561.639,49887.398,24571.191,26985.777,24394.072,38624.031
261.462,21077.338,26455.287,23951.467,28878.396,18566.713,50658.793,25357.834,27925.627,24322.131,38312.234
271.519,21269.551,26886.074,23878.232,28828.854,18386.963,50641.414,25476.619,27900.182,24519.357,38078.469
281.575,21198.051,26499.938,24148.334,29141.5,18311.139,50177.984,25406.928,28112.848,25034.809,37983.266
291.631,21400.551,26811.1,24137.566,28745.896,18614.611,50504.238,24750.904,27651.949,25146.465,38366.641
301.688,21655.113,27077.162,24685.301,28168.104,18516.213,49929.539,25732.762,27542,24024.666,37721.641
311.744,21574.512,26509.676,23786.801,29077.646,18371.695,49202.348,25316.453,27871.506,24410.393,37730.891
321.8,21648.801,27793.912,24694.434,28750.584,18091.232,50132.891,25992.072,27812.354,24840.773,38796.406
331.856,21560.738,26571.426,23745.633,28670.521,18498.436,49378.16,25423.238,27890.475,24149.465,38390.922
341.912,21635.062,26843.125,24381.666,29242.646,18394.611,49023.684,26239.428,29117.818,24370.119,38345.156
351.969,21136.25,26494.762,23510.6,27629.354,18286.129,48063.953,25114.857,28126.748,24668.154,37984.719
362.025,21386.213,26868.387,23675.467,27559.812,18417.092,48061.84,25616.096,27526.688,24912.785,38695.531
372.081,21476.051,26638.363,24290.334,27438.625,18677.268,47963.84,25451.572,28061.525,25126.381,37931.844
