sec,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D2_10
0,58170.977,62465.98,39188.66,33936.461,46534.891,40740.258,40443.836,39589.32,48289.148,27503.27
10.056,57471.133,63071.305,37340.84,38072.855,47879.562,40400.199,38501.039,39718.707,48030.398,27270.635
20.112,55439,62758.082,36139.805,38070.062,46728.938,38754.473,38940.961,39618.195,50729.551,27508.682
30.169,54944.602,63866.797,38495.695,40881.492,48736.5,38976.215,40042.695,38667.195,47219.898,27185.699
40.225,55369.984,64563.613,37710.465,39132.223,47407.984,39646.371,39243.777,40284.055,51729.852,28034.35
50.281,47533.168,56426.531,37035.945,42179.047,46618.484,39422.145,40169.328,39943.832,49298.051,28483.35
60.337,48990.398,61962.652,46404.43,43159.016,45820.859,37798.527,41095,41294.859,45685,28247.936
70.394,46482.559,58193.285,47543.91,44604.492,46109.219,38173.016,40880.328,40509.266,46383.551,29342.889
80.45,46320.176,56774.898,37260.77,50246.461,47141.219,37660.527,41049.305,41924.805,46461,28885.666
90.506,46876.375,57352.121,37627.285,46247.062,47055,39259.516,40468.531,40746.305,45435,29597.461
100.562,48138.168,58481.836,37325.465,41029.301,60929.906,38646.027,40760.652,41924.793,45331.5,31015.477
110.619,45656.215,52868.223,37439.355,41428.984,61929.625,39264.473,42886.43,43716.555,43391.352,32540.254
120.675,43760.566,49820.203,36940.5,40095.824,45723.797,39254.543,41130.184,41199.055,41149.102,30717.08
130.731,43989.117,52417.695,37901.395,39668.855,43915.609,38072.027,41323.734,42710.445,41658,32597.777
140.787,44851.426,51206.938,36724.91,40350.332,43433.234,39096.844,43016.797,42329.609,42287.449,33402.586
150.844,43523.449,50284.715,37926,40706.223,44799.547,41102.371,42678.816,42614.68,40079.898,34530.461
160.9,43253.258,49447.121,35927.25,39800.16,43939.906,39577.398,43206.754,41275.734,38933.051,34722.062
170.956,40722.375,44231,35936.535,39529.145,41829.891,39727.613,43059.02,42435.043,37906.898,35080.617
181.012,41768.633,44495,36946.59,40621.398,43177.203,38939.215,43759.367,43323.707,40329.949,34910.984
191.069,41692.484,45990.879,36838.875,40218.953,43721.578,49907.914,43956.469,42760.777,37881.148,35907.43
201.125,41563.125,46187.898,36333.805,39841.176,42743.453,42028.828,42555.734,44487.875,39571.25,35042.348
211.181,42855.16,45462.879,37368.535,40752.871,43118.047,41156.699,44491.531,44463.848,38157,34973.969
221.237,40929.324,42999.121,37639.555,41327.668,43303.922,43795.258,43055.469,44720.141,37717.199,35997.777
231.294,42300.434,43586.938,37183.785,41409.855,43705.469,47880.156,42509.879,43941.695,37881.051,36835.398
241.35,41956.898,46011.918,36315.395,43246.668,42177.531,46801.043,42918.164,45754.918,38967.551,37533.477
251.406,42343.523,46870.715,35668.645,41918.984,42409.312,45719.5,42590.816,45558.484,39252.25,36534.27
261.462,42293.199,46406.121,35249.73,40870.523,42641.047,44453.129,43375.777,45299.793,36984.148,36758.84
271.519,43593.891,46279.488,35985.805,41527.523,40792.438,46034.812,43048.387,46765.793,36561.602,35713.031
281.575,44196.035,47124.164,36774.195,42400.809,42274.516,52120.27,42048.777,46451.973,35113,38141.207
291.631,43480.367,45132.145,35369.77,42455.508,41827.172,47540.23,43773.449,45457.957,37613.801,37522.523
301.688,42242.934,43671.367,35422.25,40624.176,41757.141,46766.543,42875.918,46303.473,37432.699,38644.953
311.744,42468.523,44797.633,35813.355,42025.793,41347.516,45347.516,53269.469,47640.055,35018.148,38524.492
321.8,42715.766,45304.531,37482.52,42852.477,43093.734,52231.059,48690.43,47237.609,37881.051,38617.602
331.856,41777.273,42823.184,36352.23,42712.906,45168.703,56407.059,47785.879,46437.582,36216.75,39288.223
341.912,41541.609,42024.305,37220.75,43126.238,43155.766,51437.688,45346.695,47252.016,37717.199,38237.078
351.969,41665.16,42939.305,36383.09,42458.27,42665.281,47978.73,42150.855,47120.266,36579,39121.27
362.025,41906.609,42432.488,37541.02,42630.73,41894.531,48806.516,43322.918,56778.07,37424.051,38505.316
372.081,42035.965,42559.223,42690.285,43057.824,43161.141,49107.113,41855.223,59539.832,35811.449,38978.891
382.137,42008.633,41851.652,42705.73,43008.586,42239.531,49215.5,43393.348,54342.109,34371.25,37270.73
392.194,41455.316,41830.652,37728.855,42833.316,41579.281,49651.629,41830.512,56229.527,35302.699,38543.668
402.25,41673.793,41608.898,37223.855,44325.238,42112.797,48744.871,42379.734,56497.793,36966.898,39608.539
412.306,41367.648,41471.57,36038.18,45212.176,43853.641,49126.801,42344.488,55891.859,36880.75,40914.316
422.362,42846.566,42682.367,37482.52,45231.43,43748.609,50486.844,44442.223,50799.457,36380.699,40736.348
432.419,41747.102,40644.488,37035.98,43802.383,42341.984,48461.629,42302.266,50679.734,36233.949,37979.715
442.475,41754.316,41373.039,36777.23,44503.191,42581.719,50390.758,41454,50485.695,37441.301,40594.062
452.531,42027.375,41901,35643.875,43443.793,42428.141,54179.914,41482.203,48499.93,38639.801,40328.461
462.587,42584.957,42122.816,36469.25,44210.254,43508.781,50518.887,41292.102,49944.32,36863.5,40481.793
472.644,42093.434,41623,36432.32,43744.922,44565.078,49723.07,41549,49865.305,37010.051,39805.668
482.7,40167.574,40510.754,36093.605,42893.586,44055.812,50679.016,39796.285,51139.598,38838.102,39846.668
492.756,41484.066,41045.715,36534.035,43279.523,43403.609,51622.586,40401.695,47867.641,37398.051,41448.129
502.812,41807.484,41542.02,35881.09,43534.176,45524.406,50656.844,41260.406,48504.75,35130.25,39392.27
512.869,42169.609,40876.777,36731.035,43170.016,42115.562,50358.688,40570.488,51692.891,36863.551,39666.016
522.925,41689.566,42682.367,37165.285,43972.16,42759.656,49833.887,40042.652,52610.305,36027.051,40306.555
532.981,42543.316,42175.594,38418.75,45568.176,43737.812,51644.812,39472.512,50595.957,34880.25,40139.637
543.037,41678.16,40366.512,37759.73,43895.523,44664.734,50661.801,41820.102,48389.793,35992.648,40758.238
553.094,41090.285,41587.734,36219.82,43676.43,43605.75,51814.785,42143.918,47932.305,34526.551,38319.129
563.15,41363.391,40859.184,37211.52,45907.602,43419.812,51910.898,40324.184,48073.598,34768.148,39162.348
573.206,41251.273,41387.164,37322.41,45091.762,44570.453,51578.258,39483.02,48258.027,36510,41467.301
583.262,43109.559,42900.652,38153.875,43903.617,44807.578,51487.113,39029.02,48356.195,35578.699,41073.094
593.319,41659.426,41679.367,37494.82,44708.461,45298.047,51011.5,39722.348,48593.418,36208.051,40813.031
603.375,41742.766,40662.062,38104.645,46041.746,44546.25,49767.43,39018.449,46444.75,34319.648,39614.062
613.431,43818.066,45103.918,37448.66,44352.652,45114.781,52223.742,40556.512,49608.973,34699.199,41045.699
623.487,45582.898,49485.797,37254.605,46304.57,45279.188,50008.887,40405.184,48861.668,34699.051,40886.953
633.544,42902.59,42953.387,38751.355,45669.383,44591.953,52223.688,39715.387,49676.098,35087.199,40585.855
643.6,41390.625,40225.594,37374.73,44601.793,44336.016,52423.285,40855.613,49089.277,34983.602,40410.586
