Time (s),t1_c3,t1_c4,t1_c5,t1_c6,t1_c7
0,1157.062,1287.562,1551.662,1756.4,533.5
60,1101.862,1086.025,1593.95,1089.175,537.938
120,980.638,967.025,1538.5,629.875,512.212
180,795.388,1338.625,1183.237,463.363,495.525
240,732.737,1588.112,935.062,487.962,437.15
300,683.025,1628.088,731.9,483.025,385.762
360,607.837,1338.438,767.25,453.863,374.038
420,626.9,1436.037,899.962,511.788,402.1
480,656.938,1525.438,1208.45,585.163,438.1
540,643.15,1500.175,1812.912,639.9,458.8
600,1157.425,1646.35,1597.862,692.3,448.863
660,1391.475,2507.825,1167.5,595.763,530.462
720,1320.638,2503.825,973.812,530.237,713.475
780,1173.713,2499.162,947.962,527.038,830.425
840,1023,2377.65,853.513,622.875,830.913
900,927.913,2384.637,860.538,640.837,781.312
960,883.562,2381.775,1442.275,737.6,624.388
1020,880.112,2416.938,2125.537,920.3,550.087
1080,875.05,2468.225,2247.35,954.938,485.025
1140,930.587,2424.387,2458.188,924.788,502.812
1200,992.663,2467.588,2485.863,859.725,597.5
1260,1021.725,2444.4,2397.025,818.375,865.6
1320,1079.725,2426.738,2309.35,793,999.55
1380,1203.713,2338.312,2245.55,718.175,1176.625
1440,1398.912,2271.075,2151.188,857.6,1080.75
1500,1156.975,2230.812,2135.412,1138.875,1006.112
1560,1136.888,2209.75,2112.213,1168.388,872.987
1620,1371.812,2252.512,2100.662,1014.825,1034.825
1680,1587.062,2238.988,2234.05,984.925,1175.162
1740,1829.7,2252.6,2266.613,1146.9,1196.888
1800,1883.425,2342.375,2216.262,1397.05,1192.037
1860,1801.088,2200.075,2209,1320.287,1189.225
1920,1844.475,2138.662,2182.463,1332.325,1161.688
1980,1768.487,2026.65,2146.25,1332.037,1130.362
2040,1683.025,2023.963,2156.075,1274.65,1135.675
2100,1584.675,1929.088,1991.638,1170.6,1116.237
2160,1533.588,1876.825,1979.675,1262.45,1118.4
2220,1369.275,1879.612,2014.237,1433.287,1078.237
2280,1381.888,1938.025,2039.175,1372.6,1048.925
2340,1400.625,1967.2,2234.725,1300.05,992.65
2400,1493.588,2107.45,2166.912,1206.338,1091.75
2460,1485.925,2126.662,2037.963,1277.975,1101.537
2520,1406.438,1924.188,1987.037,1344.362,1048.362
2580,1508.1,1836.825,2211.412,1394.188,1035.75
2640,1649.9,1899.45,2391.787,1332.438,1104.412
2700,1682.75,1980.475,2312.675,1375.362,1174.388
2760,1646.713,1974.438,2220.575,1410.65,1193.475
2820,1638.65,1950.5,2204.262,1503.325,1171.112
2880,1640.625,1855.4,2103.312,1476.85,1132.9
2940,1672.075,1808.162,2100.575,1436.787,1086.75
3000,1660.338,1443.438,2154.8,1323.287,1144.9
3060,1584.725,1074.537,1913.2,1265.888,1101.912
3120,1415.162,906.675,1854.912,1273.275,1027.075
3180,1235.375,777.513,1728.312,1120.487,959.288
3240,1172.075,642.125,1619.575,1024.4,829.312
3300,1089.575,606.625,1458.5,959.375,776.837
3360,1051.8,510.212,1351.275,940.962,774.3
3420,1103.912,438.15,1337.85,887.487,786.763
3480,1090.237,404.863,1338.475,940.337,777.225
3540,1029.35,375.387,1279.388,906.25,746.675
3600,1004.525,359.637,1283.45,848.1,718.587
3660,956.225,340.288,1188.075,815.85,724.138
3720,976.65,338.475,1217.088,772.612,719.725
3780,928.663,343.288,1197.912,767.987,688.587
3840,941.1,346.55,1238.862,754.612,708.837
3900,937.538,349.137,1224.625,783.587,653.65
3960,913.538,329.163,1202.537,767.987,605.3
4020,879.775,308.062,1212.025,790.25,624.4
4080,858.9,313.225,1169.825,777,601.312
4140,840.612,304.775,1108.325,679.487,595.05
4200,815.925,307.913,1093.425,652.025,597.075
4260,776.263,298.425,1039.7,645.6,588.612
4320,737.688,288.575,1038.925,643.025,579.538
4380,711.225,293.188,980.812,689.3,583.825
4440,674.538,306.525,945.862,687.575,577.375
4500,650.4,302.387,912.163,670.038,566.9
4560,665.862,297.812,911.212,640.938,515.362
4620,666.087,299.788,856.375,661.65,538.487
4680,652.388,288.4,811.125,618.775,497.113
4740,634.062,287.15,784.125,621.75,504.5
4800,623.663,284.137,745.45,612.062,494.325
4860,594.3,274,756.112,564.15,463.4
4920,557.825,262.25,726.3,565.263,442.675
4980,517.575,269.725,687.788,525.175,412.55
5040,404.337,272.5,661.175,394.9,388.55
5100,437.738,267.562,640.525,494.087,424.113
5160,435.9,265.525,626.775,495.438,400.55
5220,457.475,264.25,600.35,492.663,402.9
5280,450.325,250.887,615.763,471.775,398.837
5340,439.325,251.463,610.35,480.587,394.688
