"AUC","Time_Onset","Frequency","baseline1","Number_of_Peaks"
2343930.66087106,160.9,0.00110489607071335,24877.0440640842,4
5875612.20785695,0,0.00248601615910503,25299.8151046973,9
20723053.8967428,0,0.00193356812374836,40083.5400243433,7
416554.711143702,130.731,0.00110489607071335,20445.1604477741,4
352918.868321404,221.237,0.00303846419446171,17379.2381588816,11
1687238.88102116,0,0.00138112008839169,28041.7850175015,5
7705844.51853842,231.294,0.00303846419446171,33026.5404970236,11
2838281.1065598,311.744,0.00276224017678337,36460.6920859407,10
2127815.39873706,0,0.00165734410607002,33541.3205803247,6
6619348.1284996,0,0.0022097921414267,17198.2145951712,8
