"AUC","Time_Onset","Frequency","baseline1","Number_of_Peaks"
15704495.0272394,110.6187458,0.00497203250636516,21137.2657412504,18
2096796.42830732,40.22499847,0.00165734416878839,20266.1596935908,6
18406716.7492064,0,0.00386713639383957,12346.0025250626,14
11767211.5130678,0,0.00276224028131398,21991.9581412228,10
22819749.1214054,0,0.00386713639383957,16432.2926983669,14
9531633.93303519,100.5624962,0.00276224028131398,20476.1740874525,10
1016607.67525362,20.11249924,0.000552448056262795,11897.3359971028,2
2374625.35792896,130.731245,0.00110489611252559,20666.0935581327,4
3413572.91880721,573.2062283,0.00220979222505118,24766.1388796678,8
7913760.14831251,0,0.00331468833757677,20055.5402458558,12
15527814.2027579,0,0.00359091236570817,17709.7370339284,13
471335.764013961,0,0.00138112014065699,22039.6820950092,5
6064486.32694957,0,0.00165734416878839,21480.4354605239,6
8128379.37442675,20.11249924,0.00414336042197096,20246.0730926147,15
8910838.58885768,20.11249924,0.00248601625318258,8580.16259275229,9
664403.70445618,472.6437321,0.000828672084394193,22797.4263964609,3
22406201.7840342,130.731245,0.00331468833757677,23635.4240482204,12
19713617.8334697,0,0.00303846430944537,19109.7916196208,11
11510682.0094304,0,0.00386713639383957,22023.2844199249,14
6965398.78245804,0,0.00386713639383957,24169.9868951843,14
6707275.04332513,191.0687428,0.00359091236570817,19633.1998924091,13
3483907.57083057,0,0.00248601625318258,23484.1800457252,9
1639073.02743973,0,0.00220979222505118,19417.4613690454,8
32278957.411788,0,0.00331468833757677,19329.9492246079,12
3850466.90260653,0,0.00165734416878839,25437.5122742622,6
9544763.76162225,0,0.00359091236570817,19330.1310865146,13
2712843.07272797,140.7874947,0.00248601625318258,19442.283163723,9
3871678.85076085,0,0.00248601625318258,19809.0130079705,9
5641853.07330114,0,0.00359091236570817,14179.3002695211,13
6441949.78690782,0,0.00359091236570817,20406.0110945403,13
2582901.59241733,362.0249863,0.00276224028131398,18955.6963620019,10
16601991.4194773,10.05624962,0.00414336042197096,15381.5702590746,15
1280559.29023057,30.16874886,0.00248601625318258,27061.5524507216,9
2854992.29018147,30.16874886,0.00165734416878839,17370.2953626447,6
17335182.5765458,0,0.00359091236570817,18183.6280395037,13
1604715.15318708,140.7874947,0.00248601625318258,30115.6222976145,9
18795769.9097593,191.0687428,0.00331468833757677,19218.097203593,12
2632430.15779518,0,0.00276224028131398,20025.1399199967,10
1704742.34674351,0,0.00276224028131398,28453.9282780587,10
4103417.20211686,281.5749893,0.00276224028131398,21506.724097691,10
9683696.20939018,30.16874886,0.00414336042197096,20645.9286984131,15
15627074.5855789,20.11249924,0.00331468833757677,13644.9406600149,12
7364217.28567608,0,0.00441958445010236,21134.5599302068,16
459599.281954005,10.05624962,0.00138112014065699,21681.404370163,5
1824728.99176534,160.8999939,0.00220979222505118,25290.8262661055,8
4472545.61719301,372.0812359,0.00165734416878839,27931.7057295166,6
5200291.98366076,221.2374916,0.00359091236570817,29146.7920192276,13
1888893.93902563,0,0.00248601625318258,20605.7931794749,9
3761621.90135141,170.9562435,0.00248601625318258,19710.4364104133,9
966745.007305533,20.11249924,0.00110489611252559,9799.55505428027,4
12690648.760661,10.05624962,0.00331468833757677,20866.1551155829,12
2876895.40876603,170.9562435,0.00359091236570817,25685.0235659253,13
2229521.06415601,0,0.00386713639383957,24418.9880538712,14
9078570.15350036,0,0.00248601625318258,17327.4271673603,9
6159719.4064289,50.28124809,0.00359091236570817,19805.0471901979,13
4345599.39439134,0,0.00303846430944537,19596.2721093272,11
47895.2091159672,170.9562435,0.00165734416878839,24255.1607257529,6
555357.571570471,452.5312328,0.00110489611252559,26954.2576035962,4
