"AUC","Time_Onset","Frequency","baseline1","Number_of_Peaks"
2351781.1917896,884.95,0.00193356812374836,21929.5324803652,7
1072942.29008529,0,0.00110489607071335,24940.2279481876,4
3272160.88543294,80.45,0.00110489607071335,25530.4385523432,4
138805.200620547,70.394,0.000276224017678337,32375.5185628984,1
59595.0174708515,110.619,0.000276224017678337,18828.2414321294,1
318498.951747179,0,0.000276224017678337,50179.4499979347,1
671343.320667028,432.419,0.000276224017678337,25357.5021147553,1
1397183.93381725,0,0.00248601615910503,27373.3995331638,9
25890603.3716042,0,0.00276224017678337,24656.1243379206,10
13750.4051606953,NA,0,39221.1834011813,0
